,0,1
0,"Hey, thank you for the new item. It's lit!!!",1
1,Thank you for the pizza! The quality is above the sky!,1
2,The pizza is lit! Thank a lot!,1
3,Why do you deliver them in plastic packaging! It's bad for the environment! Replace those with organic stuff!,0
4,The pizza stinks as shit! What the hell is this????,0
5,Why the hell did you put the tomatoes inside!? I told you not to put them!,0
6,I've already taken them from the post office! They're so soft and sweet! Thank you and love you!,1
7,I like everything except the price. Could be a bit cheaper. Everything else is great!,1
8,"The delivery took a bit long but nothing bad happened then. The shoes are great. Pull them on every day, no problem.",1
9,No comment! They're amazing!,1
10,"Jesus, thank you! So awesome!",1
11,"Oh, God, thanks a lot! Ur awesome guys, thank you!!!",1
12,"Oh yeah, everything is great. Everything is awesome!",1